"julia_version_prefix","client_type","date","request_addrs","request_count","successes","cache_misses","body_bytes_sent","request_time"
"1.10.0-DEV","ci","2023-05-06",662,163008,116954,294,116286821401,1978.73
"1.10.0-DEV","ci","2023-05-07",838,166099,128552,557,144947994167,2744.478
"1.10.0-DEV","ci","2023-05-08",1050,274994,202819,670,259915010779,7562.153
"1.10.0-DEV","ci","2023-05-09",1170,251235,189204,727,214346215793,6789.333
"1.10.0-DEV","ci","2023-05-10",1217,320941,242706,885,209564435783,5954.822
"1.10.0-DEV","ci","2023-05-11",1169,385843,288158,830,245563132145,10384.988
"1.10.0-DEV","ci","2023-05-12",1254,349347,262626,804,254450458416,142357.064
"1.10.0-DEV","ci","2023-05-13",669,136124,99912,420,93152065235,10940.754
"1.10.0-DEV","ci","2023-05-14",744,161952,122201,555,97248942670,2307.749
"1.10.0-DEV","ci","2023-05-15",1141,303264,223321,673,196872039074,8923.752
"1.10.0-DEV","ci","2023-05-16",1106,247372,182612,600,143296158150,6243.844
"1.10.0-DEV","ci","2023-05-17",1229,324180,237288,730,215269161697,8679.907
"1.10.0-DEV","ci","2023-05-18",940,196236,142768,447,115442776105,3809.934
"1.10.0-DEV","ci","2023-05-19",955,211622,159402,562,171623771502,4654.344
"1.10.0-DEV","ci","2023-05-20",659,171800,127282,321,95488554315,1800.112
"1.10.0-DEV","ci","2023-05-21",673,143691,109494,464,98177083785,2436.837
"1.10.0-DEV","ci","2023-05-22",1027,271086,198753,696,172539047601,5965.473
"1.10.0-DEV","ci","2023-05-23",1090,249147,185542,568,153937359047,7158.368
"1.10.0-DEV","ci","2023-05-24",1193,193414,157569,683,161781710454,4893.056
"1.10.0-DEV","ci","2023-05-25",1045,216103,165409,638,170842719043,6821.942
"1.10.0-DEV","ci","2023-05-26",1055,246052,184486,549,188732358445,5461.941
"1.10.0-DEV","ci","2023-05-27",651,138142,104482,296,110073768573,2252.533
"1.10.0-DEV","ci","2023-05-28",664,66208,55850,322,74523751293,1267.378
"1.10.0-DEV","ci","2023-05-29",862,180986,133389,483,132955915569,3781.425
"1.10.0-DEV","ci","2023-05-30",1094,241575,173720,526,147973121312,5836.599
"1.10.0-DEV","ci","2023-05-31",1219,321385,235209,648,199591169451,8552.291
"1.10.0-DEV","ci","2023-06-01",1087,218641,168441,602,153760431983,4404.96
"1.10.0-DEV","ci","2023-06-02",945,148644,116244,523,141019096542,3865.607
